Частота (Гц)    ЭПР (м^2)
1.000000E+07    2.081079E-13
1.858291E+08    2.480584E-08
3.616583E+08    3.554361E-07
5.374874E+08    1.730491E-06
7.133166E+08    5.353116E-06
8.891457E+08    1.287610E-05
1.064975E+09    2.637887E-05
1.240804E+09    4.833115E-05
1.416633E+09    8.153286E-05
1.592462E+09    1.290121E-04
1.768291E+09    1.938538E-04
1.944121E+09    2.789252E-04
2.119950E+09    3.864602E-04
2.295779E+09    5.174883E-04
2.471608E+09    6.711332E-04
2.647437E+09    8.439002E-04
2.823266E+09    1.029176E-03
2.999095E+09    1.217240E-03
3.174925E+09    1.396050E-03
3.350754E+09    1.552812E-03
3.526583E+09    1.676017E-03
3.702412E+09    1.757302E-03
3.878241E+09    1.792558E-03
4.054070E+09    1.781997E-03
4.229899E+09    1.729360E-03
4.405729E+09    1.640704E-03
4.581558E+09    1.523202E-03
4.757387E+09    1.384249E-03
4.933216E+09    1.230937E-03
5.109045E+09    1.069849E-03
5.284874E+09    9.070539E-04
5.460704E+09    7.482029E-04
5.636533E+09    5.986194E-04
5.812362E+09    4.633334E-04
5.988191E+09    3.470180E-04
6.164020E+09    2.538173E-04
6.339849E+09    1.870827E-04
6.515678E+09    1.490570E-04
6.691508E+09    1.405737E-04
6.867337E+09    1.608422E-04
7.043166E+09    2.073871E-04
7.218995E+09    2.761756E-04
7.394824E+09    3.619254E-04
7.570653E+09    4.585453E-04
7.746482E+09    5.596319E-04
7.922312E+09    6.589451E-04
8.098141E+09    7.508026E-04
8.273970E+09    8.303639E-04
8.449799E+09    8.938013E-04
8.625628E+09    9.383778E-04
8.801457E+09    9.624595E-04
8.977286E+09    9.654895E-04
9.153116E+09    9.479400E-04
9.328945E+09    9.112525E-04
9.504774E+09    8.577632E-04
9.680603E+09    7.906063E-04
9.856432E+09    7.135823E-04
1.003226E+10    6.309838E-04
1.020809E+10    5.473762E-04
1.038392E+10    4.673392E-04
1.055975E+10    3.951889E-04
1.073558E+10    3.347036E-04
1.091141E+10    2.888843E-04
1.108724E+10    2.597755E-04
1.126307E+10    2.483632E-04
1.143889E+10    2.545577E-04
1.161472E+10    2.772545E-04
1.179055E+10    3.144595E-04
1.196638E+10    3.634582E-04
1.214221E+10    4.210096E-04
1.231804E+10    4.835492E-04
1.249387E+10    5.473877E-04
1.266970E+10    6.088998E-04
1.284553E+10    6.646988E-04
1.302136E+10    7.117953E-04
1.319719E+10    7.477367E-04
1.337302E+10    7.707252E-04
1.354884E+10    7.797075E-04
1.372467E+10    7.744290E-04
1.390050E+10    7.554468E-04
1.407633E+10    7.240946E-04
1.425216E+10    6.823983E-04
1.442799E+10    6.329473E-04
1.460382E+10    5.787267E-04
1.477965E+10    5.229271E-04
1.495548E+10    4.687441E-04
1.513131E+10    4.191864E-04
1.530714E+10    3.769038E-04
1.548296E+10    3.440473E-04
1.565879E+10    3.221673E-04
1.583462E+10    3.121518E-04
1.601045E+10    3.142035E-04
1.618628E+10    3.278543E-04
1.636211E+10    3.520117E-04
1.653794E+10    3.850339E-04
1.671377E+10    4.248290E-04
1.688960E+10    4.689751E-04
1.706543E+10    5.148554E-04
1.724126E+10    5.598036E-04
1.741709E+10    6.012531E-04
1.759291E+10    6.368810E-04
1.776874E+10    6.647394E-04
1.794457E+10    6.833643E-04
1.812040E+10    6.918545E-04
1.829623E+10    6.899153E-04
1.847206E+10    6.778631E-04
1.864789E+10    6.565923E-04
1.882372E+10    6.275072E-04
1.899955E+10    5.924259E-04
1.917538E+10    5.534627E-04
1.935121E+10    5.128990E-04
1.952704E+10    4.730497E-04
1.970286E+10    4.361336E-04
